window_start,site,Ion,Concentration (mg/L)
1991-01-15,Q1,NH4-N,NA
1991-03-19,Q1,K,0.8333333333333334
1991-03-19,Q1,NO3-N,59.777777777777786
1991-03-19,Q1,Mg,2.9811111111111113
1991-03-19,Q1,Ca,5.421111111111111
1991-03-19,Q1,NH4-N,NA
1991-05-21,Q1,K,0.914
1991-05-21,Q1,NO3-N,54.75
1991-05-21,Q1,Mg,3.0629999999999997
1991-05-21,Q1,Ca,5.314
1991-05-21,Q1,NH4-N,NA
1991-07-23,Q1,K,1.012
1991-07-23,Q1,NO3-N,40.77777777777778
1991-07-23,Q1,Mg,3.801
1991-07-23,Q1,Ca,6.164
1991-07-23,Q1,NH4-N,NA
1991-09-24,Q1,K,1.1225
1991-09-24,Q1,NO3-N,80.5
1991-09-24,Q1,Mg,2.8266666666666667
1991-09-24,Q1,Ca,4.400833333333333
1991-09-24,Q1,NH4-N,NA
1991-11-26,Q1,K,1.1477777777777778
1991-11-26,Q1,NO3-N,188.375
1991-11-26,Q1,Mg,3.0455555555555556
1991-11-26,Q1,Ca,5.041111111111111
1991-11-26,Q1,NH4-N,NA
1992-01-28,Q1,K,1.1520000000000001
1992-01-28,Q1,NO3-N,151
1992-01-28,Q1,Mg,3.128
1992-01-28,Q1,Ca,5.376
1992-01-28,Q1,NH4-N,NA
1992-03-31,Q1,K,1.051111111111111
1992-03-31,Q1,NO3-N,63.125
1992-03-31,Q1,Mg,3.3244444444444445
1992-03-31,Q1,Ca,5.618888888888889
1992-03-31,Q1,NH4-N,NA
1992-06-02,Q1,K,1.1566666666666667
1992-06-02,Q1,NO3-N,58.25
1992-06-02,Q1,Mg,2.8633333333333333
1992-06-02,Q1,Ca,4.7877777777777775
1992-06-02,Q1,NH4-N,NA
1992-08-04,Q1,K,1.1144444444444446
1992-08-04,Q1,NO3-N,102.66666666666666
1992-08-04,Q1,Mg,3.236666666666667
1992-08-04,Q1,Ca,5.694444444444445
1992-08-04,Q1,NH4-N,NA
1992-10-06,Q1,K,0.9877777777777778
1992-10-06,Q1,NO3-N,76.28571428571429
1992-10-06,Q1,Mg,3.002222222222222
1992-10-06,Q1,Ca,5.384444444444444
1992-10-06,Q1,NH4-N,NA
1992-12-08,Q1,K,1.0822222222222222
1992-12-08,Q1,NO3-N,20.5
1992-12-08,Q1,Mg,2.897777777777778
1992-12-08,Q1,Ca,4.845555555555555
1992-12-08,Q1,NH4-N,NA
1993-02-09,Q1,K,1.12
1993-02-09,Q1,NO3-N,125.33333333333333
1993-02-09,Q1,Mg,3.4466666666666668
1993-02-09,Q1,Ca,5.72
1993-02-09,Q1,NH4-N,NA
1993-04-13,Q1,K,1.22
1993-04-13,Q1,NO3-N,69.11111111111111
1993-04-13,Q1,Mg,3.4755555555555557
1993-04-13,Q1,Ca,5.415555555555556
1993-04-13,Q1,NH4-N,NA
1993-06-15,Q1,K,1.018888888888889
1993-06-15,Q1,NO3-N,39.2
1993-06-15,Q1,Mg,2.9566666666666666
1993-06-15,Q1,Ca,5.483333333333333
1993-06-15,Q1,NH4-N,NA
1993-08-17,Q1,K,1.0933333333333333
1993-08-17,Q1,NO3-N,43.111111111111114
1993-08-17,Q1,Mg,3.281111111111111
1993-08-17,Q1,Ca,5.704444444444444
1993-08-17,Q1,NH4-N,NA
1993-10-19,Q1,K,1.1277777777777778
1993-10-19,Q1,NO3-N,12.444444444444445
1993-10-19,Q1,Mg,3.2733333333333334
1993-10-19,Q1,Ca,5.831111111111111
1993-10-19,Q1,NH4-N,NA
1993-12-21,Q1,K,1.0355555555555556
1993-12-21,Q1,NO3-N,25.333333333333332
1993-12-21,Q1,Mg,2.8844444444444446
1993-12-21,Q1,Ca,5.3133333333333335
1993-12-21,Q1,NH4-N,NA
1994-02-22,Q1,K,1.0655555555555556
1994-02-22,Q1,NO3-N,86.75
1994-02-22,Q1,Mg,3.3433333333333333
1994-02-22,Q1,Ca,5.968888888888889
1994-02-22,Q1,NH4-N,NA
1994-04-26,Q1,K,1.1566666666666667
1994-04-26,Q1,NO3-N,17.444444444444443
1994-04-26,Q1,Mg,3.7
1994-04-26,Q1,Ca,6.6466666666666665
1994-04-26,Q1,NH4-N,NA
1994-06-28,Q1,K,1.143
1994-06-28,Q1,NO3-N,94.75
1994-06-28,Q1,Mg,3.505
1994-06-28,Q1,Ca,6.196
1994-06-28,Q1,NH4-N,NA
1994-08-30,Q1,K,1.22
1994-08-30,Q1,NO3-N,NA
1994-08-30,Q1,Mg,3.3455555555555554
1994-08-30,Q1,Ca,6.12
1994-08-30,Q1,NH4-N,NA
1994-11-01,Q1,K,1.0988888888888888
1994-11-01,Q1,NO3-N,109
1994-11-01,Q1,Mg,3.0444444444444443
1994-11-01,Q1,Ca,5.645555555555555
1994-11-01,Q1,NH4-N,NA
1986-05-20,Q2,K,0.79
1986-05-20,Q2,NO3-N,208.66666666666666
1986-05-20,Q2,Mg,3.0033333333333334
1986-05-20,Q2,Ca,4.9
1986-05-20,Q2,NH4-N,NA
1986-07-22,Q2,K,NA
1986-07-22,Q2,NO3-N,NA
1986-07-22,Q2,Mg,NA
1986-07-22,Q2,Ca,NA
1986-07-22,Q2,NH4-N,NA
1986-09-23,Q2,K,0.716
1986-09-23,Q2,NO3-N,206.6
1986-09-23,Q2,Mg,2.43
1986-09-23,Q2,Ca,4.946
1986-09-23,Q2,NH4-N,22.6
1986-11-25,Q2,K,0.6922222222222223
1986-11-25,Q2,NO3-N,268.1111111111111
1986-11-25,Q2,Mg,2.5211111111111113
1986-11-25,Q2,Ca,4.742222222222222
1986-11-25,Q2,NH4-N,17.25
1987-01-27,Q2,K,0.76
1987-01-27,Q2,NO3-N,219.625
1987-01-27,Q2,Mg,2.658888888888889
1987-01-27,Q2,Ca,4.924444444444444
1987-01-27,Q2,NH4-N,14
1987-03-31,Q2,K,0.9455555555555556
1987-03-31,Q2,NO3-N,259.85714285714283
1987-03-31,Q2,Mg,2.29
1987-03-31,Q2,Ca,4.682222222222222
1987-03-31,Q2,NH4-N,39
1987-06-02,Q2,K,0.8188888888888889
1987-06-02,Q2,NO3-N,232.77777777777777
1987-06-02,Q2,Mg,2.49
1987-06-02,Q2,Ca,4.915555555555556
1987-06-02,Q2,NH4-N,70.66666666666667
1987-08-04,Q2,K,0.8530769230769231
1987-08-04,Q2,NO3-N,231.3846153846154
1987-08-04,Q2,Mg,2.037692307692308
1987-08-04,Q2,Ca,4.03
1987-08-04,Q2,NH4-N,32.84615384615385
1987-10-06,Q2,K,0.856
1987-10-06,Q2,NO3-N,191
1987-10-06,Q2,Mg,2.0949999999999998
1987-10-06,Q2,Ca,4.21
1987-10-06,Q2,NH4-N,12.1
1987-12-08,Q2,K,0.8668421052631579
1987-12-08,Q2,NO3-N,253.86666666666667
1987-12-08,Q2,Mg,2.04
1987-12-08,Q2,Ca,4.324736842105263
1987-12-08,Q2,NH4-N,18.36842105263158
1988-02-09,Q2,K,0.7775
1988-02-09,Q2,NO3-N,185
1988-02-09,Q2,Mg,2.34625
1988-02-09,Q2,Ca,4.33875
1988-02-09,Q2,NH4-N,18.857142857142858
1988-04-12,Q2,K,0.807
1988-04-12,Q2,NO3-N,216.7
1988-04-12,Q2,Mg,2.187
1988-04-12,Q2,Ca,3.868
1988-04-12,Q2,NH4-N,57.55555555555556
1988-06-14,Q2,K,0.7545454545454545
1988-06-14,Q2,NO3-N,NA
1988-06-14,Q2,Mg,2.2381818181818183
1988-06-14,Q2,Ca,3.561818181818182
1988-06-14,Q2,NH4-N,67.5
1988-08-16,Q2,K,0.7761538461538462
1988-08-16,Q2,NO3-N,184.72727272727272
1988-08-16,Q2,Mg,2.0591666666666666
1988-08-16,Q2,Ca,3.805
1988-08-16,Q2,NH4-N,26.25
1988-10-18,Q2,K,0.8475
1988-10-18,Q2,NO3-N,224.125
1988-10-18,Q2,Mg,2.38125
1988-10-18,Q2,Ca,4.18625
1988-10-18,Q2,NH4-N,61
1988-12-20,Q2,K,0.9077777777777778
1988-12-20,Q2,NO3-N,219.11111111111111
1988-12-20,Q2,Mg,2.4833333333333334
1988-12-20,Q2,Ca,4.488888888888889
1988-12-20,Q2,NH4-N,NA
1989-02-21,Q2,K,0.8377777777777777
1989-02-21,Q2,NO3-N,224.9
1989-02-21,Q2,Mg,2.7688888888888887
1989-02-21,Q2,Ca,4.62
1989-02-21,Q2,NH4-N,NA
1989-04-25,Q2,K,0.9366666666666666
1989-04-25,Q2,NO3-N,174
1989-04-25,Q2,Mg,2.6755555555555555
1989-04-25,Q2,Ca,4.58
1989-04-25,Q2,NH4-N,NA
1989-06-27,Q2,K,1.0044444444444445
1989-06-27,Q2,NO3-N,176
1989-06-27,Q2,Mg,2.3566666666666665
1989-06-27,Q2,Ca,4.605555555555556
1989-06-27,Q2,NH4-N,NA
1989-08-29,Q2,K,1.1718181818181819
1989-08-29,Q2,NO3-N,137.42857142857142
1989-08-29,Q2,Mg,2.789
1989-08-29,Q2,Ca,5.341
1989-08-29,Q2,NH4-N,NA
1989-10-31,Q2,K,1.339
1989-10-31,Q2,NO3-N,424.3
1989-10-31,Q2,Mg,3.138
1989-10-31,Q2,Ca,6.071
1989-10-31,Q2,NH4-N,NA
1990-01-02,Q2,K,1.3822222222222222
1990-01-02,Q2,NO3-N,194.75
1990-01-02,Q2,Mg,3.12
1990-01-02,Q2,Ca,6.677777777777778
1990-01-02,Q2,NH4-N,NA
1990-03-06,Q2,K,1.393076923076923
1990-03-06,Q2,NO3-N,460.9090909090909
1990-03-06,Q2,Mg,2.46
1990-03-06,Q2,Ca,5.222307692307692
1990-03-06,Q2,NH4-N,NA
1990-05-08,Q2,K,1.262
1990-05-08,Q2,NO3-N,301.5
1990-05-08,Q2,Mg,3.079
1990-05-08,Q2,Ca,6.397
1990-05-08,Q2,NH4-N,NA
1990-07-10,Q2,K,0.9955555555555555
1990-07-10,Q2,NO3-N,177.44444444444446
1990-07-10,Q2,Mg,3.2844444444444445
1990-07-10,Q2,Ca,7.045555555555556
1990-07-10,Q2,NH4-N,NA
1990-09-11,Q2,K,0.8822222222222222
1990-09-11,Q2,NO3-N,101
1990-09-11,Q2,Mg,2.76
1990-09-11,Q2,Ca,6.1322222222222225
1990-09-11,Q2,NH4-N,NA
1990-11-13,Q2,K,1.0463636363636364
1990-11-13,Q2,NO3-N,211.45454545454547
1990-11-13,Q2,Mg,2.9263636363636363
1990-11-13,Q2,Ca,6.368181818181818
1990-11-13,Q2,NH4-N,NA
1991-01-15,Q2,K,0.8288888888888889
1991-01-15,Q2,NO3-N,124.71428571428571
1991-01-15,Q2,Mg,3.0255555555555556
1991-01-15,Q2,Ca,6.865555555555556
1991-01-15,Q2,NH4-N,NA
1991-03-19,Q2,K,0.8922222222222222
1991-03-19,Q2,NO3-N,77.44444444444443
1991-03-19,Q2,Mg,2.92
1991-03-19,Q2,Ca,5.662222222222222
1991-03-19,Q2,NH4-N,NA
1991-05-21,Q2,K,1.078
1991-05-21,Q2,NO3-N,85.125
1991-05-21,Q2,Mg,3.005
1991-05-21,Q2,Ca,3.7439999999999998
1991-05-21,Q2,NH4-N,NA
1991-07-23,Q2,K,1.271
1991-07-23,Q2,NO3-N,60.2
1991-07-23,Q2,Mg,3.157
1991-07-23,Q2,Ca,6.536
1991-07-23,Q2,NH4-N,NA
1991-09-24,Q2,K,1.2816666666666667
1991-09-24,Q2,NO3-N,170.83333333333331
1991-09-24,Q2,Mg,2.6133333333333333
1991-09-24,Q2,Ca,4.645833333333333
1991-09-24,Q2,NH4-N,NA
1991-11-26,Q2,K,1.198888888888889
1991-11-26,Q2,NO3-N,296.1111111111111
1991-11-26,Q2,Mg,3.051111111111111
1991-11-26,Q2,Ca,5.783333333333333
1991-11-26,Q2,NH4-N,NA
1992-01-28,Q2,K,1.284
1992-01-28,Q2,NO3-N,191.11111111111111
1992-01-28,Q2,Mg,2.969
1992-01-28,Q2,Ca,6.08
1992-01-28,Q2,NH4-N,NA
1992-03-31,Q2,K,1.1555555555555557
1992-03-31,Q2,NO3-N,135.125
1992-03-31,Q2,Mg,2.8533333333333335
1992-03-31,Q2,Ca,5.455555555555556
1992-03-31,Q2,NH4-N,NA
1992-06-02,Q2,K,1.26
1992-06-02,Q2,NO3-N,58
1992-06-02,Q2,Mg,2.9877777777777776
1992-06-02,Q2,Ca,6.188888888888889
1992-06-02,Q2,NH4-N,NA
1992-08-04,Q2,K,1.2733333333333332
1992-08-04,Q2,NO3-N,79.66666666666667
1992-08-04,Q2,Mg,3.04
1992-08-04,Q2,Ca,6.444444444444445
1992-08-04,Q2,NH4-N,NA
1992-10-06,Q2,K,1.1822222222222223
1992-10-06,Q2,NO3-N,47.75
1992-10-06,Q2,Mg,2.738888888888889
1992-10-06,Q2,Ca,5.905555555555556
1992-10-06,Q2,NH4-N,NA
1992-12-08,Q2,K,1.2344444444444445
1992-12-08,Q2,NO3-N,172
1992-12-08,Q2,Mg,3.0322222222222224
1992-12-08,Q2,Ca,6.345555555555555
1992-12-08,Q2,NH4-N,NA
1993-02-09,Q2,K,1.38
1993-02-09,Q2,NO3-N,145.5
1993-02-09,Q2,Mg,3.3477777777777775
1993-02-09,Q2,Ca,6.855555555555555
1993-02-09,Q2,NH4-N,NA
1993-04-13,Q2,K,1.3155555555555556
1993-04-13,Q2,NO3-N,89.75
1993-04-13,Q2,Mg,2.8722222222222222
1993-04-13,Q2,Ca,5.665555555555556
1993-04-13,Q2,NH4-N,NA
1993-06-15,Q2,K,1.49
1993-06-15,Q2,NO3-N,95.4
1993-06-15,Q2,Mg,3.163333333333333
1993-06-15,Q2,Ca,7.022222222222222
1993-06-15,Q2,NH4-N,NA
1993-08-17,Q2,K,1.2966666666666666
1993-08-17,Q2,NO3-N,61.625
1993-08-17,Q2,Mg,2.8777777777777778
1993-08-17,Q2,Ca,6.525555555555555
1993-08-17,Q2,NH4-N,NA
1993-10-19,Q2,K,1.3855555555555557
1993-10-19,Q2,NO3-N,41.22222222222222
1993-10-19,Q2,Mg,2.966666666666667
1993-10-19,Q2,Ca,6.611111111111112
1993-10-19,Q2,NH4-N,NA
1993-12-21,Q2,K,1.3711111111111112
1993-12-21,Q2,NO3-N,12.5
1993-12-21,Q2,Mg,2.694444444444444
1993-12-21,Q2,Ca,5.996666666666667
1993-12-21,Q2,NH4-N,NA
1994-02-22,Q2,K,1.3444444444444446
1994-02-22,Q2,NO3-N,37.5
1994-02-22,Q2,Mg,2.9522222222222223
1994-02-22,Q2,Ca,6.587777777777778
1994-02-22,Q2,NH4-N,NA
1994-04-26,Q2,K,1.3925
1994-04-26,Q2,NO3-N,22.25
1994-04-26,Q2,Mg,3.24125
1994-04-26,Q2,Ca,6.95875
1994-04-26,Q2,NH4-N,NA
1994-06-28,Q2,K,1.1633333333333333
1994-06-28,Q2,NO3-N,145.5
1994-06-28,Q2,Mg,2.4833333333333334
1994-06-28,Q2,Ca,5.0649999999999995
1994-06-28,Q2,NH4-N,NA
1994-08-30,Q2,K,1.32
1994-08-30,Q2,NO3-N,NA
1994-08-30,Q2,Mg,1.975
1994-08-30,Q2,Ca,4.325
1994-08-30,Q2,NH4-N,NA
1994-11-01,Q2,K,1.25375
1994-11-01,Q2,NO3-N,NA
1994-11-01,Q2,Mg,2.48875
1994-11-01,Q2,Ca,5.3075
1994-11-01,Q2,NH4-N,NA
1986-05-20,Q3,K,0.7033333333333333
1986-05-20,Q3,NO3-N,119.66666666666667
1986-05-20,Q3,Mg,3.4333333333333336
1986-05-20,Q3,Ca,3.9533333333333336
1986-05-20,Q3,NH4-N,NA
1986-07-22,Q3,K,NA
1986-07-22,Q3,NO3-N,NA
1986-07-22,Q3,Mg,NA
1986-07-22,Q3,Ca,NA
1986-07-22,Q3,NH4-N,NA
1986-09-23,Q3,K,0.566
1986-09-23,Q3,NO3-N,161.5
1986-09-23,Q3,Mg,2.606
1986-09-23,Q3,Ca,3.606
1986-09-23,Q3,NH4-N,24.6
1986-11-25,Q3,K,0.56
1986-11-25,Q3,NO3-N,197.88888888888889
1986-11-25,Q3,Mg,2.738888888888889
1986-11-25,Q3,Ca,3.462222222222222
1986-11-25,Q3,NH4-N,17
1987-01-27,Q3,K,0.6222222222222222
1987-01-27,Q3,NO3-N,193.77777777777777
1987-01-27,Q3,Mg,3.0477777777777777
1987-01-27,Q3,Ca,3.7266666666666666
1987-01-27,Q3,NH4-N,14.571428571428571
1987-03-31,Q3,K,0.6922222222222222
1987-03-31,Q3,NO3-N,182.11111111111111
1987-03-31,Q3,Mg,2.4544444444444444
1987-03-31,Q3,Ca,3.428888888888889
1987-03-31,Q3,NH4-N,46
1987-06-02,Q3,K,0.6666666666666666
1987-06-02,Q3,NO3-N,175.22222222222223
1987-06-02,Q3,Mg,2.4044444444444446
1987-06-02,Q3,Ca,3.621111111111111
1987-06-02,Q3,NH4-N,80.88888888888889
1987-08-04,Q3,K,0.7055555555555555
1987-08-04,Q3,NO3-N,240.375
1987-08-04,Q3,Mg,2.948888888888889
1987-08-04,Q3,Ca,3.9033333333333333
1987-08-04,Q3,NH4-N,19.75
1987-10-06,Q3,K,0.577
1987-10-06,Q3,NO3-N,209.7
1987-10-06,Q3,Mg,2.106
1987-10-06,Q3,Ca,3.079
1987-10-06,Q3,NH4-N,11.714285714285714
1987-12-08,Q3,K,0.7106666666666667
1987-12-08,Q3,NO3-N,162.5
1987-12-08,Q3,Mg,2.306
1987-12-08,Q3,Ca,3.248
1987-12-08,Q3,NH4-N,30.823529411764703
1988-02-09,Q3,K,0.5833333333333334
1988-02-09,Q3,NO3-N,194.77777777777777
1988-02-09,Q3,Mg,2.7488888888888887
1988-02-09,Q3,Ca,3.462222222222222
1988-02-09,Q3,NH4-N,22.444444444444443
1988-04-12,Q3,K,0.658
1988-04-12,Q3,NO3-N,198.6
1988-04-12,Q3,Mg,2.3890000000000002
1988-04-12,Q3,Ca,2.8810000000000002
1988-04-12,Q3,NH4-N,46.2
1988-06-14,Q3,K,0.677
1988-06-14,Q3,NO3-N,NA
1988-06-14,Q3,Mg,2.584
1988-06-14,Q3,Ca,2.896
1988-06-14,Q3,NH4-N,28
1988-08-16,Q3,K,0.5984615384615385
1988-08-16,Q3,NO3-N,140.85714285714286
1988-08-16,Q3,Mg,2.1923076923076925
1988-08-16,Q3,Ca,2.786153846153846
1988-08-16,Q3,NH4-N,42.2
1988-10-18,Q3,K,0.7075
1988-10-18,Q3,NO3-N,184
1988-10-18,Q3,Mg,2.6574999999999998
1988-10-18,Q3,Ca,3.7885714285714287
1988-10-18,Q3,NH4-N,57
1988-12-20,Q3,K,0.7922222222222223
1988-12-20,Q3,NO3-N,188.88888888888889
1988-12-20,Q3,Mg,2.761111111111111
1988-12-20,Q3,Ca,3.87
1988-12-20,Q3,NH4-N,NA
1989-02-21,Q3,K,0.6988888888888889
1989-02-21,Q3,NO3-N,158.22222222222223
1989-02-21,Q3,Mg,2.716666666666667
1989-02-21,Q3,Ca,3.668888888888889
1989-02-21,Q3,NH4-N,NA
1989-04-25,Q3,K,0.7544444444444445
1989-04-25,Q3,NO3-N,145.22222222222223
1989-04-25,Q3,Mg,2.9
1989-04-25,Q3,Ca,4.1755555555555555
1989-04-25,Q3,NH4-N,NA
1989-06-27,Q3,K,0.8044444444444444
1989-06-27,Q3,NO3-N,111.22222222222223
1989-06-27,Q3,Mg,2.626666666666667
1989-06-27,Q3,Ca,3.4266666666666667
1989-06-27,Q3,NH4-N,NA
1989-08-29,Q3,K,1.031
1989-08-29,Q3,NO3-N,176.5
1989-08-29,Q3,Mg,2.676
1989-08-29,Q3,Ca,3.638
1989-08-29,Q3,NH4-N,NA
1989-10-31,Q3,K,1.489
1989-10-31,Q3,NO3-N,424.5
1989-10-31,Q3,Mg,3.586
1989-10-31,Q3,Ca,4.354
1989-10-31,Q3,NH4-N,NA
1990-01-02,Q3,K,1.4577777777777778
1990-01-02,Q3,NO3-N,262.375
1990-01-02,Q3,Mg,3.61
1990-01-02,Q3,Ca,5.15
1990-01-02,Q3,NH4-N,NA
1990-03-06,Q3,K,1.406153846153846
1990-03-06,Q3,NO3-N,380.25
1990-03-06,Q3,Mg,2.644615384615385
1990-03-06,Q3,Ca,3.683076923076923
1990-03-06,Q3,NH4-N,NA
1990-05-08,Q3,K,1.304
1990-05-08,Q3,NO3-N,308
1990-05-08,Q3,Mg,3.278
1990-05-08,Q3,Ca,4.443
1990-05-08,Q3,NH4-N,NA
1990-07-10,Q3,K,1.0666666666666667
1990-07-10,Q3,NO3-N,187.375
1990-07-10,Q3,Mg,3.4144444444444444
1990-07-10,Q3,Ca,5.423333333333333
1990-07-10,Q3,NH4-N,NA
1990-09-11,Q3,K,0.9577777777777777
1990-09-11,Q3,NO3-N,114.55555555555556
1990-09-11,Q3,Mg,3.2544444444444447
1990-09-11,Q3,Ca,5.295555555555556
1990-09-11,Q3,NH4-N,NA
1990-11-13,Q3,K,0.9927272727272728
1990-11-13,Q3,NO3-N,197.5
1990-11-13,Q3,Mg,2.8363636363636364
1990-11-13,Q3,Ca,4.458181818181818
1990-11-13,Q3,NH4-N,NA
1991-01-15,Q3,K,0.7888888888888889
1991-01-15,Q3,NO3-N,154.28571428571428
1991-01-15,Q3,Mg,3.8155555555555556
1991-01-15,Q3,Ca,4.995555555555556
1991-01-15,Q3,NH4-N,NA
1991-03-19,Q3,K,0.8233333333333334
1991-03-19,Q3,NO3-N,82.125
1991-03-19,Q3,Mg,3.187777777777778
1991-03-19,Q3,Ca,4.322222222222222
1991-03-19,Q3,NH4-N,NA
1991-05-21,Q3,K,0.929
1991-05-21,Q3,NO3-N,87.25
1991-05-21,Q3,Mg,3.391
1991-05-21,Q3,Ca,4.38
1991-05-21,Q3,NH4-N,NA
1991-07-23,Q3,K,0.98
1991-07-23,Q3,NO3-N,107.1
